"Host","Host_Upham"
"lepus granatensis","Lepus granatensis"
"lepus saxatilis","Lepus saxatilis"
"lepus timidus","Lepus timidus"
"ochotona curzoniae","Ochotona curzoniae"
"oryctolagus cuniculus","Oryctolagus cuniculus"
"sylvilagus aquaticus","Sylvilagus aquaticus"
"sylvilagus audubonii","Sylvilagus audubonii"
"sylvilagus bachmani","Sylvilagus bachmani"
"sylvilagus brasiliensis","Sylvilagus brasiliensis"
"sylvilagus floridanus","Sylvilagus floridanus"
"sylvilagus nuttallii","Sylvilagus nuttallii"
"sylvilagus palustris","Sylvilagus palustris"
"tachyglossus aculeatus","Tachyglossus aculeatus"
"isoodon macrourus","Isoodon macrourus"
"isoodon obesulus","Isoodon obesulus"
"perameles gunnii","Perameles gunnii"
"perameles nasuta","Perameles nasuta"
"ceratotherium simum","Ceratotherium simum"
"diceros bicornis","Diceros bicornis"
"equus asinus","Equus africanus"
"equus burchellii","Equus quagga"
"equus caballus","Equus caballus"
"equus grevyi","Equus grevyi"
"equus hemionus","Equus hemionus"
"equus kiang","Equus kiang"
"equus przewalskii","Equus ferus"
"equus zebra","Equus zebra"
"rhinoceros unicornis","Rhinoceros unicornis"
"tapirus terrestris","Tapirus terrestris"
"bradypus tridactylus","Bradypus tridactylus"
"bradypus variegatus","Bradypus variegatus"
"choloepus didactylus","Choloepus didactylus"
"choloepus hoffmanni","Choloepus hoffmanni"
"cyclopes didactylus","Cyclopes didactylus"
"myrmecophaga tridactyla","Myrmecophaga tridactyla"
"tamandua tetradactyla","Tamandua tetradactyla"
"allenopithecus nigroviridis","Allenopithecus nigroviridis"
"allochrocebus lhoesti","Cercopithecus lhoesti"
"allochrocebus solatus","Cercopithecus solatus"
"alouatta belzebul","Alouatta belzebul"
"alouatta caraya","Alouatta caraya"
"alouatta guariba","Alouatta guariba"
"alouatta palliata","Alouatta palliata"
"alouatta pigra","Alouatta pigra"
"alouatta seniculus","Alouatta seniculus"
"aotus azarai","Aotus azarae"
"aotus trivirgatus","Aotus trivirgatus"
"ateles fusciceps","Ateles fusciceps"
"ateles geoffroyi","Ateles geoffroyi"
"ateles paniscus","Ateles paniscus"
"brachyteles arachnoides","Brachyteles arachnoides"
