"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
10,"1_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"2_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"3_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"4_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"5_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"6_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"7_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"8_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"9_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"10_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"11_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"12_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"13_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"14_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"15_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"16_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"17_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"18_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"19_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"20_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"21_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"22_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"23_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"24_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"25_10","Lyssavirus rabies","CASS 88","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"26_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"27_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"28_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"29_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"30_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"31_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"32_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
10,"33_10","Lyssavirus rabies","5020","Artibeus_lituratus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
12,"1_12","Monkeypox virus","MPX 2003","Cynomys_ludovicianus","Rodentia",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,"Y"
12,"2_12","Monkeypox virus","MPX 2003","Cynomys_ludovicianus","Rodentia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,"Y"
12,"3_12","Monkeypox virus","MPX 2003","Cynomys_ludovicianus","Rodentia",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,"Y"
